keys,es,en
WORLD_DEPOT_BOARD,PIZARRA,BOARD
WORLD_DEPOT_SHELVES,ESTANTES,SHELVES
WORLD_DEPOT_WORKSHOP,TALLER,WORKSHOP
WORLD_DEPOT_LOCKERS,VESTUARIO,LOCKERS
WORLD_DEPOT_SUPPLIES,SUMINISTROS,SUPPLIES
WORLD_DEPOT_NOTICE_MISSING_ITEM,casa %d (%s),house %d (%s)
WORLD_DEPOT_NOTICE_MISSING,Salieron sin el pedido de la %s,You left without the order for %s
WORLD_DEPOT_NOTICE_DOOR,El depósito cierra el portón. ¡Buen viaje!,The depot shuts the gate. Have a good trip!
WORLD_DEPOT_NOTICE_BOUGHT,Compraron %s (-$%d),Bought %s (-$%d)
WORLD_DEPOT_NOTICE_DISCOUNT,Usaron Descuento en %s (-$%d),Used a Discount on %s (-$%d)
WORLD_DEPOT_MARK_OK,OK,OK
WORLD_DEPOT_MARK_RUINED,ROTO,BROKEN
WORLD_DEPOT_MARK_MISSED,NO,NO
WORLD_DEPOT_NOTICE_INSURANCE,El seguro cubrió la caja rota: +$%d,Insurance covered the broken box: +$%d
WORLD_DEPOT_FLOOR_FORKLIFT,CARRIL AUTOELEVADOR,FORKLIFT LANE
WORLD_DEPOT_FLOOR_EXIT,SALIDA,EXIT
WORLD_DEPOT_FLOOR_LOADING,ZONA DE CARGA,LOADING ZONE
WORLD_DEPOT_SIGN_SHELVES,← ESTANTES,← SHELVES
WORLD_DEPOT_SIGN_TRUCK,CAMIÓN → PORTÓN,TRUCK → GATE
WORLD_DEPOT_SIGN_LOCKERS,VESTUARIO →,LOCKERS →
WORLD_DEPOT_SIGN_SUPPLIES,SUMINISTROS →,SUPPLIES →
WORLD_DEPOT_SIGN_SHELF,ESTANTE %s,SHELF %s
WORLD_DEPOT_WORKSHOP_SUB,pintura · camión,paint · truck
WORLD_DEPOT_COFFEE,CAFÉ,COFFEE
WORLD_DEPOT_OFFICE,OFICINA,OFFICE
WORLD_DEPOT_FLOOR_TO_ROAD,A LA RUTA,TO THE ROAD
WORLD_DEPOT_FACADE_SUB,DEPÓSITO CENTRAL  ·  ENTREGAS COOPERATIVAS,CENTRAL DEPOT  ·  CO-OP DELIVERIES
WORLD_DEPOT_STAFF,PERSONAL,STAFF
WORLD_DEPOT_DOOR_INSIDE,SALIDA  ·  CUIDÁ LA CARGA,EXIT  ·  MIND THE CARGO
WORLD_DEPOT_POSTER_VEST_TITLE,USÁ EL CHALECO,WEAR THE VEST
WORLD_DEPOT_POSTER_VEST_BODY,"Te tienen que ver
los autoelevadores","The forklifts
have to see you"
WORLD_DEPOT_POSTER_LIFT_TITLE,LEVANTÁ CON LAS PIERNAS,LIFT WITH YOUR LEGS
WORLD_DEPOT_POSTER_LIFT_BODY,"Las cajas pesadas
se levantan entre dos","Heavy boxes
take two people"
WORLD_DEPOT_POSTER_FRAGILE_TITLE,FRÁGIL = DESPACIO,FRAGILE = SLOW
WORLD_DEPOT_POSTER_FRAGILE_BODY,"Frená antes del badén,
no encima","Brake before the bump,
not on it"
WORLD_DEPOT_POSTER_ONEBOX_TITLE,UNA CAJA POR CASA,ONE BOX PER HOUSE
WORLD_DEPOT_POSTER_ONEBOX_BODY,"Leé la pizarra antes
de cargar el camión","Read the board before
loading the truck"
WORLD_DEPOT_BOARD_TITLE,PEDIDOS DE HOY,TODAY'S ORDERS
WORLD_DEPOT_BOARD_RULE,Una caja por casa  ·  cargá sólo lo que pide cada una,One box per house  ·  load only what each one ordered
WORLD_DEPOT_BOARD_ORDER,"CASA %d  ·  ESTANTE %s
%s · %s","HOUSE %d  ·  SHELF %s
%s · %s"
WORLD_DEPOT_ENDLESS_TITLE,RUTA SIN FIN,ENDLESS ROAD
WORLD_DEPOT_ENDLESS_RULE,Llevá todo lo que puedas lo más lejos posible,Take all you can as far as you can
WORLD_DEPOT_ENDLESS_ROW,"Cargá las cajas que quieras y salí:
el portón está abierto.","Load whatever boxes you like and go:
the gate is open."
WORLD_DEPOT_ENDLESS_BEST,RÉCORD  ·  %d m,BEST  ·  %d m
WORLD_DEPOT_ENDLESS_NO_BEST,RÉCORD  ·  todavía ninguno,BEST  ·  none yet
WORLD_DEPOT_TEAM_TITLE,EQUIPO DEL MES,CREW OF THE MONTH
WORLD_DEPOT_TEAM_ALL_UNLOCKED,¡todo desbloqueado!,everything unlocked!
WORLD_DEPOT_TEAM_NEXT,%s (%d entregas),%s (%d deliveries)
WORLD_DEPOT_TEAM_STATS,"Entregas exitosas: %d
Puntos acumulados: %d
Mejor reparto: %d pts
Próximo: %s","Successful deliveries: %d
Total points: %d
Best run: %d pts
Next: %s"
WORLD_DEPOT_STATION_ORDERS,Leer pedidos,Read the orders
WORLD_DEPOT_STATION_GARAGE,Personalizar el camión,Customise the truck
WORLD_DEPOT_STATION_WARDROBE,Cambiarte el uniforme,Change your uniform
WORLD_DEPOT_STATION_SHOP,Comprar suministros,Buy supplies
WORLD_DEPOT_STATION_RECORDS,Ver el progreso del equipo,See the crew's progress
WORLD_DEPOT_CLERK_1,¡Hola! ¿Qué llevás hoy?,Hi! What are you taking today?
